"Var1","Var2","List","Pairing","Cosine"
"cigar","ashtray","A","Related",0.790656408806726
"duck","pigeon","A","Related",0.843340956737001
"carrot","broccoli","A","Related",0.870622821861958
"earrings","necklace","A","Related",0.871345413361194
"banana","pineapple","A","Related",0.89580512747554
"croissant","pickle","A","Related",0.795552980936807
"candle","lamp","A","Related",0.700732167895578
"turtle","lizard","A","Related",0.768185569968784
"beaver","moose","A","Related",0.765250843036928
"perfume","lipstick","A","Related",0.759199000599874
"camera","tripod","A","Related",0.815485551265645
"almonds","raisins","A","Related",0.978822842121669
"ladle","grater","A","Related",0.904034917533648
"frisbee","volleyball","A","Related",0.798967830071979
"bacon","cheese","A","Related",0.924356422124495
"strainer","plate","A","Related",0.654352134827368
"cymbals","drum","A","Related",0.889320823529355
"coconut","mango","A","Related",0.892935826394631
"bracket","hinge","A","Related",0.741177783108988
"shrimp","crab","A","Related",0.861842443576398
"squirrel","raccoon","A","Related",0.74139990818599
"bread","potato","A","Related",0.844687530355154
"bucket","shovel","A","Related",0.818837235492971
"ladder","rope","A","Related",0.758220592946082
"bagel","fries","A","Related",0.887821795690308
"cheetah","zebra","A","Related",0.824983540735641
"deodorant","toothbrush","A","Related",0.806058145416452
"ginger","lemon","A","Related",0.966604670918065
"laptop","webcam","A","Related",0.659520076074212
"pelican","flamingo","A","Related",0.905507733999078
"toucan","parrot","A","Related",0.850091909783615
"metronome","xylophone","A","Related",0.829473569454646
"pliers","screwdriver","A","Related",0.635617355069437
"drill","pipe","A","Related",0.713291765262205
"mattress","pillow","A","Related",0.848692003332224
"cello","violin","A","Related",0.991612352290898
"paddle","boat","A","Related",0.891492042159523
"butterfly","spider","A","Related",0.659122374644046
"chalk","sand","A","Related",0.62534960865996
"fridge","toaster","A","Related",0.954832399269228
"blender","snake","A","Unrelated",0.0852054383869416
"armadillo","spatula","A","Unrelated",0.134180310548518
"porcupine","towel","A","Unrelated",0.127334566598789
"elbow","mushroom","A","Unrelated",0.12217262448211
"moon","jeans","A","Unrelated",0.136279002590489
"helmet","strawberry","A","Unrelated",0.150349070029803
"tambourine","windmill","A","Unrelated",0.117758263791012
"cherries","tarantula","A","Unrelated",0.136795279182452
"barn","melon","A","Unrelated",0.0698515927801187
"shoe","onion","A","Unrelated",0.0362951370745305
"motorcycle","pizza","A","Unrelated",0.11168252824578
"lime","shark","A","Unrelated",0.126048123567951
"vulture","tongs","A","Unrelated",0.0977541979767495
"sock","tortilla","A","Unrelated",0.120894263343029
"elephant","folder","A","Unrelated",0.0523326815848217
"spinach","wallet","A","Unrelated",0.0749358171079944
"bull","spoon","A","Unrelated",0.117273480444702
"accordion","plum","A","Unrelated",0.116431407990954
"pear","scooter","A","Unrelated",0.112915699129076
"peeler","lion","A","Unrelated",0.11231556825074
"cabbage","shoulder","A","Unrelated",0.125905443351431
"sushi","pencil","A","Unrelated",0.10485584300699
"peach","saxophone","A","Unrelated",0.0876490932528596
"blueberry","harmonica","A","Unrelated",0.131534651062787
"wrench","avocado","A","Unrelated",0.0917521127796127
"macaroni","goggles","A","Unrelated",0.112470377413582
"knife","piano","A","Unrelated",0.0934921351191609
"trumpet","ostrich","A","Unrelated",0.121048055486596
"crayon","tomato","A","Unrelated",0.0973939709606298
"sink","giraffe","A","Unrelated",0.152489743104496
"leek","tweezers","A","Unrelated",0.118637658813851
"sponge","banjo","A","Unrelated",0.0967720933396631
"dolphin","walnut","A","Unrelated",0.151331277053217
"wolf","cucumber","A","Unrelated",0.0929402072874999
"chainsaw","lettuce","A","Unrelated",0.148759631793508
"garlic","razor","A","Unrelated",0.0912940266687626
"crocodile","telescope","A","Unrelated",0.0889620708066362
"clipboard","skunk","A","Unrelated",0.07917468621706
"guitar","tiger","A","Unrelated",0.130501245336592
"cauliflower","hammer","A","Unrelated",0.0860853830181215
"cigar","violin","B","Unrelated",0.109951318022246
"duck","toaster","B","Unrelated",0.0844192806023807
"carrot","lamp","B","Unrelated",0.11739660827419
"earrings","lemon","B","Unrelated",0.100402186332435
"banana","tripod","B","Unrelated",0.123843918574204
"croissant","raccoon","B","Unrelated",0.103658393311023
"candle","broccoli","B","Unrelated",0.110954781401291
"turtle","screwdriver","B","Unrelated",0.117315838292114
"beaver","pineapple","B","Unrelated",0.130532060118953
"perfume","moose","B","Unrelated",0.102378135869196
"camera","parrot","B","Unrelated",0.102185413761187
"almonds","necklace","B","Unrelated",0.123514758581829
"ladle","boat","B","Unrelated",0.0887716168262475
"frisbee","lizard","B","Unrelated",0.132564750098481
"bacon","sand","B","Unrelated",0.0999388124073572
"strainer","pigeon","B","Unrelated",0.109697992395728
"cymbals","zebra","B","Unrelated",0.120186245238939
"coconut","hinge","B","Unrelated",0.10053914915913
"bracket","volleyball","B","Unrelated",0.109225596380771
"shrimp","ashtray","B","Unrelated",0.107134574742329
"squirrel","grater","B","Unrelated",0.129672563704143
"bread","xylophone","B","Unrelated",0.0855955662172772
"bucket","flamingo","B","Unrelated",0.133478358950053
"ladder","mango","B","Unrelated",0.0815116604534409
"bagel","spider","B","Unrelated",0.144977965343958
"cheetah","pipe","B","Unrelated",0.112364422102302
"deodorant","crab","B","Unrelated",0.100750283858194
"ginger","rope","B","Unrelated",0.118234658505804
"laptop","shovel","B","Unrelated",0.106572612064747
"pelican","toothbrush","B","Unrelated",0.0941619107507286
"toucan","plate","B","Unrelated",0.0954772519929751
"metronome","pickle","B","Unrelated",0.0979555886025369
"pliers","raisins","B","Unrelated",0.0907918133353968
"drill","fries","B","Unrelated",0.101965247220777
"mattress","potato","B","Unrelated",0.0939054597322773
"cello","pillow","B","Unrelated",0.0613858140637848
"paddle","cheese","B","Unrelated",0.117562779379342
"butterfly","webcam","B","Unrelated",0.12229350139891
"chalk","drum","B","Unrelated",0.115025307646006
"fridge","lipstick","B","Unrelated",0.139777716810875
"blender","spoon","B","Related",0.933276503095378
"armadillo","tarantula","B","Related",0.786440490959532
"porcupine","skunk","B","Related",0.706845164770069
"elbow","shoulder","B","Related",0.916527149216029
"moon","telescope","B","Related",0.734997646762469
"helmet","goggles","B","Related",0.756493856131025
"tambourine","saxophone","B","Related",0.754799006839263
"cherries","plum","B","Related",0.930563118606233
"barn","windmill","B","Related",0.623506064655184
"shoe","jeans","B","Related",0.824156279216413
"motorcycle","scooter","B","Related",0.785026917138856
"lime","walnut","B","Related",0.705917432168221
"vulture","ostrich","B","Related",0.621956316318125
"sock","wallet","B","Related",0.670998465670825
"elephant","giraffe","B","Related",0.881719254121027
"spinach","cucumber","B","Related",0.97570823546935
"bull","lion","B","Related",0.714257489699508
"accordion","banjo","B","Related",0.920450668531612
"pear","avocado","B","Related",0.85654701084457
"peeler","spatula","B","Related",0.690318951092083
"cabbage","lettuce","B","Related",0.983079552337283
"sushi","pizza","B","Related",0.840077242907552
"peach","strawberry","B","Related",0.875234831690828
"blueberry","melon","B","Related",0.848250960105266
"wrench","razor","B","Related",0.744874792541589
"macaroni","tortilla","B","Related",0.894321479304439
"knife","tongs","B","Related",0.801750981675635
"trumpet","piano","B","Related",0.879077490525291
"crayon","pencil","B","Related",0.897527632774877
"sink","towel","B","Related",0.779163922085762
"leek","mushroom","B","Related",0.846712177844132
"sponge","tweezers","B","Related",0.683487397069221
"dolphin","shark","B","Related",0.842719460783686
"wolf","tiger","B","Related",0.669718897370219
"chainsaw","hammer","B","Related",0.689715174251969
"garlic","onion","B","Related",0.992559802964971
"crocodile","snake","B","Related",0.827475716915244
"clipboard","folder","B","Related",0.831478443254641
"guitar","harmonica","B","Related",0.927233698744049
"cauliflower","tomato","B","Related",0.905606805566193
